Rank,Country,Year,GFSI_out_of_100
1,Singapore,2019,87.4
2,Ireland,2019,84
3,United States,2019,83.7
4,Switzerland,2019,83.1
=5,Finland,2019,82.9
=5,Norway,2019,82.9
7,Sweden,2019,82.7
8,Canada,2019,82.4
9,Netherlands,2019,82
10,Austria,2019,81.7
11,Germany,2019,81.5
12,Australia,2019,81.4
13,Qatar,2019,81.2
14,Denmark,2019,81
15,Belgium,2019,80.7
16,France,2019,80.4
17,United Kingdom,2019,79.1
18,Israel,2019,79
19,New Zealand,2019,78.8
20,Portugal,2019,77.8
=21,Japan,2019,76.5
=21,United Arab Emirates,2019,76.5
23,Italy,2019,75.8
24,Poland,2019,75.6
=25,Chile,2019,75.5
=25,Spain,2019,75.5
27,Kuwait,2019,74.8
28,Malaysia,2019,73.8
29,South Korea,2019,73.6
30,Saudi Arabia,2019,73.5
31,Greece,2019,73.4
32,Czech Republic,2019,73.1
33,Uruguay,2019,72.8
34,Hungary,2019,72.7
35,China,2019,71
36,Belarus,2019,70.9
37,Argentina,2019,70.8
38,Romania,2019,70.2
=39,Brazil,2019,70.1
=39,Costa Rica,2019,70.1
41,Turkey,2019,69.8
42,Russia,2019,69.7
=43,Colombia,2019,69.4
=43,Mexico,2019,69.4
45,Panama,2019,68.8
46,Oman,2019,68.4
47,Slovakia,2019,68.3
=48,Kazakhstan,2019,67.3
=48,South Africa,2019,67.3
50,Bahrain,2019,66.6
51,Bulgaria,2019,66.2
52,Thailand,2019,65.1
53,Azerbaijan,2019,64.8
54,Vietnam,2019,64.6
55,Egypt,2019,64.5
56,Dominican Republic,2019,64.2
57,Botswana,2019,63.8
58,Peru,2019,63.3
=59,Ghana,2019,62.8
=59,Morocco,2019,62.8
=59,Serbia,2019,62.8
62,Indonesia,2019,62.6
63,Ecuador,2019,61.8
=64,Jordan,2019,61
=64,Philippines,2019,61
66,Sri Lanka,2019,60.8
67,El Salvador,2019,60.7
68,Guatemala,2019,60.6
69,Tunisia,2019,60.1
70,Algeria,2019,59.8
71,Uzbekistan,2019,59
72,India,2019,58.9
73,Honduras,2019,58
74,Paraguay,2019,57.9
75,Bolivia,2019,57.7
76,Ukraine,2019,57.1
77,Myanmar,2019,57
78,Pakistan,2019,56.8
79,Nepal,2019,56.4
80,Mali,2019,54.4
81,Senegal,2019,54.3
82,Nicaragua,2019,54.2
83,Bangladesh,2019,53.2
84,Cote d’Ivoire,2019,52.3
85,Benin,2019,51
86,Kenya,2019,50.7
87,Burkina Faso,2019,50.1
88,Cameroon,2019,49.9
89,Niger,2019,49.6
90,Cambodia,2019,49.4
91,Ethiopia,2019,49.2
92,Laos,2019,49.1
93,Tajikistan,2019,49
94,Nigeria,2019,48.4
95,Rwanda,2019,48.2
96,Tanzania,2019,47.6
97,Guinea,2019,46.7
98,Uganda,2019,46.2
99,Sudan,2019,45.7
100,Angola,2019,45.5
101,Zambia,2019,44.4
102,Togo,2019,44
103,Haiti,2019,43.3
104,Malawi,2019,42.5
105,Mozambique,2019,41.4
106,Sierra Leone,2019,39
107,Syria,2019,38.4
108,Madagascar,2019,37.9
109,Chad,2019,36.9
110,Congo (Dem. Rep.),2019,35.7
111,Yemen,2019,35.6
112,Burundi,2019,34.3
113,Venezuela,2019,31.2